word,pronunciation,meaning
probe,/prəʊb/,"명 (medicine) (의학) 탐침 
명 (exploration, poking) 탐사, 탐사용 로켓 
동(타) (medicine) 탐침으로 검사하다 
동(타) (investigate) 철저히 조사하다 
명 (inquiry) 철저한 조사 
동(타) (ask questions) 질문하다, 물어보다 "
spectacular,/spɛkˈtækjʊlə/,"형 (incredible) 굉장한, 믿을 수 없는 
명 (performance) 호화쇼, 초대작 
형 (a spectacle) 구경거리의, 장관인 "
plague,/pleɪɡ/,"명 (disease, pestilence) 전염병, 돌림병, 흑사병 
명 (infestation of insects or rats) (곤충의) 이상 대량 발생 
명 (sthg bad and persistent) 재앙, 재해, 재난 
동(타) (persistently bother) 끊임없이 괴롭히다, 귀찮게 하다 "
puzzle,/ˈpʌzəl/,"명 (jigsaw puzzle) 조각 맞추기 게임 
명 (mental game) 수수께끼 
명 (mental question) 골칫거리 
동(타) (confuse) 당혹케 하다 
동(자) (think about) 숙고하다 "
trivial,/ˈtrɪvɪəl/,"형 (not important) 하찮은, 사소한 
형 (person) 평범한, 진부한 
형 (very easy) 매우 쉬운, 별것 아닌 "
frivolous,/ˈfrɪvələs/,"형 (speech, action: lighthearted) (언변, 행위) 천박한, 경박스런 
형 (person: silly) (사람) 어리석은, 바보같은 
형 pejorative (trivial, worthless) 사소한, 하찮은, 시시한, 가치없는 "
succinct,/səkˈsɪŋkt/,"형 (brief, concise) 간결한, 간명한 "
firn,,
flex,/flɛks/,"동(타) (muscle) (근육을) 수축시키다 
동(타) figurative (show strength) (비유적 표현) 힘을 과시하다 
동(자) (bend) 구부러지다 "
entrenched,/ɪnˈtrentʃt/,"동(타) figurative (establish, secure) (비유적으로) 확립하다, 견고히 하다 
동(타) (military: dig a trench) (군사) 참호로 둘러싸다 "
shook,/ʃʊk/,"동(타) (vibrate, agitate sthg) 흔들다 
  떨다 
  손을 잡다 
동(자) (vibrate) 진동하다, 흔들리다 
  떨리다, 흔들다 "
diminutive,/dɪˈmɪnjʊtɪv/,"형 (small) 소형의, 작은 
명 (shortened name, pet name) 애칭 
형 (name, form: shortened) (이름) 애칭의 "
tiny,/ˈtaɪnɪ/,"형 (very small) 아주 작은 "
selective,/sɪˈlɛktɪv/,"형 (involving selection) 선택적인 
형 (discriminating) 분리하는, 구별하는 "
